"search_word","place_name","href"
"McDonald's near Aarhus","McDonald's Randersvej","https://www.google.com/maps/place/McDonald%27s+Randersvej/data=!4m7!3m6!1s0x464c3fc94fcb1e6d:0x563b390d53494060!8m2!3d56.1792912!4d10.2001225!16s%2Fg%2F1tdqs3wh!19sChIJbR7LT8k_TEYRYEBJUw05O1Y?authuser=0&hl=da&rclk=1"
"McDonald's near Aarhus","McDonald's Telefontorvet","https://www.google.com/maps/place/McDonald%27s+Telefontorvet/data=!4m7!3m6!1s0x464c3f96af03b44b:0x66934c2e7d05e441!8m2!3d56.155644!4d10.207051!16s%2Fg%2F1vkxkwd3!19sChIJS7QDr5Y_TEYRQeQFfS5Mk2Y?authuser=0&hl=da&rclk=1"
"McDonald's near Aarhus","McDonald's Aarhus Banegård","https://www.google.com/maps/place/McDonald%27s+Aarhus+Baneg%C3%A5rd/data=!4m7!3m6!1s0x464c3f8e0a446cff:0x345e2ea8af3b8d58!8m2!3d56.15033!4d10.20496!16s%2Fg%2F1tgwqw5g!19sChIJ_2xECo4_TEYRWI07r6guXjQ?authuser=0&hl=da&rclk=1"
"McDonald's near Aarhus","McDonald's Tilst","https://www.google.com/maps/place/McDonald%27s+Tilst/data=!4m7!3m6!1s0x464c150527a4095d:0x668b294050751f42!8m2!3d56.1818189!4d10.122324!16s%2Fg%2F1tfkd5mw!19sChIJXQmkJwUVTEYRQh91UEApi2Y?authuser=0&hl=da&rclk=1"
"McDonald's near Aarhus","McDonald's Grenåvej","https://www.google.com/maps/place/McDonald%27s+Gren%C3%A5vej/data=!4m7!3m6!1s0x464c3e5fa406dbcb:0x938b0884661abf1d!8m2!3d56.2020173!4d10.246591!16s%2Fg%2F1tk_mwj3!19sChIJy9sGpF8-TEYRHb8aZoQIi5M?authuser=0&hl=da&rclk=1"
"McDonald's near Aarhus","McDonald's Viby","https://www.google.com/maps/place/McDonald%27s+Viby/data=!4m7!3m6!1s0x464c401c44cfa3a1:0xa3593b8eb43afa9f!8m2!3d56.1290938!4d10.1606067!16s%2Fg%2F1thsdjbc!19sChIJoaPPRBxATEYRn_o6tI47WaM?authuser=0&hl=da&rclk=1"
"McDonald's near Aarhus","McDonald's Viby Mega Syd","https://www.google.com/maps/place/McDonald%27s+Viby+Mega+Syd/data=!4m7!3m6!1s0x464c40276a9b523b:0xb645b28b5e5493c4!8m2!3d56.1158445!4d10.1513885!16s%2Fg%2F1ptw69cx_!19sChIJO1KbaidATEYRxJNUXouyRbY?authuser=0&hl=da&rclk=1"
Rema 1000 8000 Aarhus,Rema 1000,https://www.google.com/maps/place/Rema+1000/data=!4m7!3m6!1s0x464c3feb5017f0bf:0x289e8dfd9b04eb1d!8m2!3d56.158324!4d10.198364!16s%2Fg%2F11f0l3_zm4!19sChIJv_AXUOs_TEYRHesEm_2Nnig?authuser=0&hl=da&rclk=1
Rema 1000 8000 Aarhus,Rema 1000,https://www.google.com/maps/place/Rema+1000/data=!4m7!3m6!1s0x464c3f95cfad96b9:0x349844dbb75494af!8m2!3d56.160333!4d10.207058!16s%2Fg%2F11b6xfpg7w!19sChIJuZatz5U_TEYRr5RUt9tEmDQ?authuser=0&hl=da&rclk=1
Rema 1000 8000 Aarhus,Rema 1000,https://www.google.com/maps/place/Rema+1000/data=!4m7!3m6!1s0x464c3fb9db1d2a11:0x3893f7e105f9ac74!8m2!3d56.1789028!4d10.2004903!16s%2Fg%2F11xf951p5!19sChIJESod27k_TEYRdKz5BeH3kzg?authuser=0&hl=da&rclk=1
Rema 1000 8000 Aarhus,REMA 1000,https://www.google.com/maps/place/REMA+1000/data=!4m7!3m6!1s0x464c3f41883d7f9d:0xb4b630b023571e9b!8m2!3d56.168461!4d10.1907659!16s%2Fg%2F11ldtj9k47!19sChIJnX89iEE_TEYRmx5XI7AwtrQ?authuser=0&hl=da&rclk=1
Rema 1000 8000 Aarhus,Rema 1000,https://www.google.com/maps/place/Rema+1000/data=!4m7!3m6!1s0x464c3f925b28920f:0x770699a2bbb1d9a!8m2!3d56.1535666!4d10.2027529!16s%2Fg%2F1tq8h4m8!19sChIJD5IoW5I_TEYRmh27K5ppcAc?authuser=0&hl=da&rclk=1
Rema 1000 8000 Aarhus,Rema 1000,https://www.google.com/maps/place/Rema+1000/data=!4m7!3m6!1s0x464c3fb9db1d2a11:0x59a3d276b4febc02!8m2!3d56.1692711!4d10.2167132!16s%2Fg%2F1tnbjrb9!19sChIJESod27k_TEYRArz-tHbSo1k?authuser=0&hl=da&rclk=1
Rema 1000 8000 Aarhus,Rema 1000,https://www.google.com/maps/place/Rema+1000/data=!4m7!3m6!1s0x464c3fb4f0d8b42d:0x3c40ae016089cb27!8m2!3d56.15259!4d10.186298!16s%2Fg%2F11h1kcmnb8!19sChIJLbTY8LQ_TEYRJ8uJYAGuQDw?authuser=0&hl=da&rclk=1
Rema 1000 8000 Aarhus,Rema 1000,https://www.google.com/maps/place/Rema+1000/data=!4m7!3m6!1s0x464c3f13445840f9:0xf32f1bf4f81a121!8m2!3d56.146834!4d10.194385!16s%2Fg%2F11h0by6ssb!19sChIJ-UBYRBM_TEYRIaGBT7_xMg8?authuser=0&hl=da&rclk=1
